dataset_id,数据集编号,english_file,英文文件,chinese_file,中文文件,rows,行数,columns,列数,source_paths,来源路径
DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_CORR__8be9063f,DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_CORR__8be9063f,data_processed/english/DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_CORR__8be9063f_en.csv,data_processed/english/DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_CORR__8be9063f_en.csv,data_processed/chinese/DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_CORR__8be9063f_cn.csv,data_processed/chinese/DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_CORR__8be9063f_cn.csv,11,11,12,12,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_AND_PEARSON_RESULTS/DESCRIPTIVE_AND_PEARSON_RESULTS.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_AND_PEARSON_RESULTS/DESCRIPTIVE_AND_PEARSON_RESULTS.xlsx
DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_PVALUE__8be9063f,DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_PVALUE__8be9063f,data_processed/english/DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_PVALUE__8be9063f_en.csv,data_processed/english/DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_PVALUE__8be9063f_en.csv,data_processed/chinese/DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_PVALUE__8be9063f_cn.csv,data_processed/chinese/DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_PVALUE__8be9063f_cn.csv,11,11,12,12,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_AND_PEARSON_RESULTS/DESCRIPTIVE_AND_PEARSON_RESULTS.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_AND_PEARSON_RESULTS/DESCRIPTIVE_AND_PEARSON_RESULTS.xlsx
DESCRIPTIVE_AND_PEARSON_RESULTS__RAW_SELECTED_DATA__8be9063f,DESCRIPTIVE_AND_PEARSON_RESULTS__RAW_SELECTED_DATA__8be9063f,data_processed/english/DESCRIPTIVE_AND_PEARSON_RESULTS__RAW_SELECTED_DATA__8be9063f_en.csv,data_processed/english/DESCRIPTIVE_AND_PEARSON_RESULTS__RAW_SELECTED_DATA__8be9063f_en.csv,data_processed/chinese/DESCRIPTIVE_AND_PEARSON_RESULTS__RAW_SELECTED_DATA__8be9063f_cn.csv,data_processed/chinese/DESCRIPTIVE_AND_PEARSON_RESULTS__RAW_SELECTED_DATA__8be9063f_cn.csv,558,558,15,15,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_AND_PEARSON_RESULTS/DESCRIPTIVE_AND_PEARSON_RESULTS.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_AND_PEARSON_RESULTS/DESCRIPTIVE_AND_PEARSON_RESULTS.xlsx
DESCRIPTIVE_STATISTICS_KS__Sheet1__d44859c7,DESCRIPTIVE_STATISTICS_KS__Sheet1__d44859c7,data_processed/english/DESCRIPTIVE_STATISTICS_KS__Sheet1__d44859c7_en.csv,data_processed/english/DESCRIPTIVE_STATISTICS_KS__Sheet1__d44859c7_en.csv,data_processed/chinese/DESCRIPTIVE_STATISTICS_KS__Sheet1__d44859c7_cn.csv,data_processed/chinese/DESCRIPTIVE_STATISTICS_KS__Sheet1__d44859c7_cn.csv,16,16,10,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_STATISTICS_KS.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_STATISTICS_KS.xlsx
DESCRIPTIVE_STATISTICS_RESULTS__DESCRIPTIVE_STATS__75676242,DESCRIPTIVE_STATISTICS_RESULTS__DESCRIPTIVE_STATS__75676242,data_processed/english/DESCRIPTIVE_STATISTICS_RESULTS__DESCRIPTIVE_STATS__75676242_en.csv,data_processed/english/DESCRIPTIVE_STATISTICS_RESULTS__DESCRIPTIVE_STATS__75676242_en.csv,data_processed/chinese/DESCRIPTIVE_STATISTICS_RESULTS__DESCRIPTIVE_STATS__75676242_cn.csv,data_processed/chinese/DESCRIPTIVE_STATISTICS_RESULTS__DESCRIPTIVE_STATS__75676242_cn.csv,11,11,11,11,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_STATISTICS_RESULTS.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_STATISTICS_RESULTS.xlsx
DESCRIPTIVE_STATISTICS_RESULTS__MISSING_SUMMARY__75676242,DESCRIPTIVE_STATISTICS_RESULTS__MISSING_SUMMARY__75676242,data_processed/english/DESCRIPTIVE_STATISTICS_RESULTS__MISSING_SUMMARY__75676242_en.csv,data_processed/english/DESCRIPTIVE_STATISTICS_RESULTS__MISSING_SUMMARY__75676242_en.csv,data_processed/chinese/DESCRIPTIVE_STATISTICS_RESULTS__MISSING_SUMMARY__75676242_cn.csv,data_processed/chinese/DESCRIPTIVE_STATISTICS_RESULTS__MISSING_SUMMARY__75676242_cn.csv,11,11,3,3,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_STATISTICS_RESULTS.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_STATISTICS_RESULTS.xlsx
DESCRIPTIVE_STATISTICS_RESULTS__RAW_SELECTED_DATA__75676242,DESCRIPTIVE_STATISTICS_RESULTS__RAW_SELECTED_DATA__75676242,data_processed/english/DESCRIPTIVE_STATISTICS_RESULTS__RAW_SELECTED_DATA__75676242_en.csv,data_processed/english/DESCRIPTIVE_STATISTICS_RESULTS__RAW_SELECTED_DATA__75676242_en.csv,data_processed/chinese/DESCRIPTIVE_STATISTICS_RESULTS__RAW_SELECTED_DATA__75676242_cn.csv,data_processed/chinese/DESCRIPTIVE_STATISTICS_RESULTS__RAW_SELECTED_DATA__75676242_cn.csv,558,558,15,15,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_STATISTICS_RESULTS.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_STATISTICS_RESULTS.xlsx
Feature_Importance__Sheet1__21bd0aec,Feature_Importance__Sheet1__21bd0aec,data_processed/english/Feature_Importance__Sheet1__21bd0aec_en.csv,data_processed/english/Feature_Importance__Sheet1__21bd0aec_en.csv,data_processed/chinese/Feature_Importance__Sheet1__21bd0aec_cn.csv,data_processed/chinese/Feature_Importance__Sheet1__21bd0aec_cn.csv,10,10,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_NATIONAL/Feature_Importance.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_NATIONAL/Feature_Importance.xlsx
Feature_Importance__Sheet1__87a215d1,Feature_Importance__Sheet1__87a215d1,data_processed/english/Feature_Importance__Sheet1__87a215d1_en.csv,data_processed/english/Feature_Importance__Sheet1__87a215d1_en.csv,data_processed/chinese/Feature_Importance__Sheet1__87a215d1_cn.csv,data_processed/chinese/Feature_Importance__Sheet1__87a215d1_cn.csv,10,10,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_OUTPUT_CORE/Feature_Importance.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_OUTPUT_CORE/Feature_Importance.xlsx
INDICATOR_SYSTEM_EN__data__057c3a6a,INDICATOR_SYSTEM_EN__data__057c3a6a,data_processed/english/INDICATOR_SYSTEM_EN__data__057c3a6a_en.csv,data_processed/english/INDICATOR_SYSTEM_EN__data__057c3a6a_en.csv,data_processed/chinese/INDICATOR_SYSTEM_EN__data__057c3a6a_cn.csv,data_processed/chinese/INDICATOR_SYSTEM_EN__data__057c3a6a_cn.csv,16,16,5,5,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/resilience_output/INDICATOR_SYSTEM_EN.csv,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/resilience_output/INDICATOR_SYSTEM_EN.csv
ML_1__Sheet1__fe448b0e,ML_1__Sheet1__fe448b0e,data_processed/english/ML_1__Sheet1__fe448b0e_en.csv,data_processed/english/ML_1__Sheet1__fe448b0e_en.csv,data_processed/chinese/ML_1__Sheet1__fe448b0e_cn.csv,data_processed/chinese/ML_1__Sheet1__fe448b0e_cn.csv,390,390,22,22,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/绿色全要素生产率/绿色全要素生产率（ML累乘）.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/绿色全要素生产率/绿色全要素生产率（ML累乘）(1).xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/绿色全要素生产率/绿色全要素生产率（ML累乘）.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/绿色全要素生产率/绿色全要素生产率（ML累乘）(1).xlsx
ML_SHAP_By_Zone_Metrics__ALL_METRICS__a52ffb47,ML_SHAP_By_Zone_Metrics__ALL_METRICS__a52ffb47,data_processed/english/ML_SHAP_By_Zone_Metrics__ALL_METRICS__a52ffb47_en.csv,data_processed/english/ML_SHAP_By_Zone_Metrics__ALL_METRICS__a52ffb47_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Metrics__ALL_METRICS__a52ffb47_cn.csv,data_processed/chinese/ML_SHAP_By_Zone_Metrics__ALL_METRICS__a52ffb47_cn.csv,9,9,6,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Metrics.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Metrics.xlsx
ML_SHAP_By_Zone_Result__I_Central__35ece8b9,ML_SHAP_By_Zone_Result__I_Central__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__I_Central__35ece8b9_en.csv,data_processed/english/ML_SHAP_By_Zone_Result__I_Central__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__I_Central__35ece8b9_cn.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__I_Central__35ece8b9_cn.csv,10,10,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx
ML_SHAP_By_Zone_Result__I_Eastern__35ece8b9,ML_SHAP_By_Zone_Result__I_Eastern__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__I_Eastern__35ece8b9_en.csv,data_processed/english/ML_SHAP_By_Zone_Result__I_Eastern__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__I_Eastern__35ece8b9_cn.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__I_Eastern__35ece8b9_cn.csv,10,10,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx
ML_SHAP_By_Zone_Result__I_Western__35ece8b9,ML_SHAP_By_Zone_Result__I_Western__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__I_Western__35ece8b9_en.csv,data_processed/english/ML_SHAP_By_Zone_Result__I_Western__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__I_Western__35ece8b9_cn.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__I_Western__35ece8b9_cn.csv,10,10,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx
ML_SHAP_By_Zone_Result__M_Central__35ece8b9,ML_SHAP_By_Zone_Result__M_Central__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__M_Central__35ece8b9_en.csv,data_processed/english/ML_SHAP_By_Zone_Result__M_Central__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__M_Central__35ece8b9_cn.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__M_Central__35ece8b9_cn.csv,3,3,6,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx
ML_SHAP_By_Zone_Result__M_Eastern__35ece8b9,ML_SHAP_By_Zone_Result__M_Eastern__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__M_Eastern__35ece8b9_en.csv,data_processed/english/ML_SHAP_By_Zone_Result__M_Eastern__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__M_Eastern__35ece8b9_cn.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__M_Eastern__35ece8b9_cn.csv,3,3,6,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx
ML_SHAP_By_Zone_Result__M_Western__35ece8b9,ML_SHAP_By_Zone_Result__M_Western__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__M_Western__35ece8b9_en.csv,data_processed/english/ML_SHAP_By_Zone_Result__M_Western__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__M_Western__35ece8b9_cn.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__M_Western__35ece8b9_cn.csv,3,3,6,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx
ML_SHAP_By_Zone_Result__S_Central__35ece8b9,ML_SHAP_By_Zone_Result__S_Central__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__S_Central__35ece8b9_en.csv,data_processed/english/ML_SHAP_By_Zone_Result__S_Central__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__S_Central__35ece8b9_cn.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__S_Central__35ece8b9_cn.csv,144,144,10,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx
ML_SHAP_By_Zone_Result__S_Eastern__35ece8b9,ML_SHAP_By_Zone_Result__S_Eastern__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__S_Eastern__35ece8b9_en.csv,data_processed/english/ML_SHAP_By_Zone_Result__S_Eastern__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__S_Eastern__35ece8b9_cn.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__S_Eastern__35ece8b9_cn.csv,198,198,10,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx
ML_SHAP_By_Zone_Result__S_Western__35ece8b9,ML_SHAP_By_Zone_Result__S_Western__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__S_Western__35ece8b9_en.csv,data_processed/english/ML_SHAP_By_Zone_Result__S_Western__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__S_Western__35ece8b9_cn.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__S_Western__35ece8b9_cn.csv,216,216,10,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx
ML_SHAP_Core_Result__Feature_Importance__4777de21,ML_SHAP_Core_Result__Feature_Importance__4777de21,data_processed/english/ML_SHAP_Core_Result__Feature_Importance__4777de21_en.csv,data_processed/english/ML_SHAP_Core_Result__Feature_Importance__4777de21_en.csv,data_processed/chinese/ML_SHAP_Core_Result__Feature_Importance__4777de21_cn.csv,data_processed/chinese/ML_SHAP_Core_Result__Feature_Importance__4777de21_cn.csv,10,10,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_OUTPUT_CORE/ML_SHAP_Core_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_OUTPUT_CORE/ML_SHAP_Core_Result.xlsx
ML_SHAP_Core_Result__Model_Metrics__4777de21,ML_SHAP_Core_Result__Model_Metrics__4777de21,data_processed/english/ML_SHAP_Core_Result__Model_Metrics__4777de21_en.csv,data_processed/english/ML_SHAP_Core_Result__Model_Metrics__4777de21_en.csv,data_processed/chinese/ML_SHAP_Core_Result__Model_Metrics__4777de21_cn.csv,data_processed/chinese/ML_SHAP_Core_Result__Model_Metrics__4777de21_cn.csv,3,3,5,5,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_OUTPUT_CORE/ML_SHAP_Core_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_OUTPUT_CORE/ML_SHAP_Core_Result.xlsx
ML_SHAP_Core_Result__SHAP_Values__4777de21,ML_SHAP_Core_Result__SHAP_Values__4777de21,data_processed/english/ML_SHAP_Core_Result__SHAP_Values__4777de21_en.csv,data_processed/english/ML_SHAP_Core_Result__SHAP_Values__4777de21_en.csv,data_processed/chinese/ML_SHAP_Core_Result__SHAP_Values__4777de21_cn.csv,data_processed/chinese/ML_SHAP_Core_Result__SHAP_Values__4777de21_cn.csv,558,558,10,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_OUTPUT_CORE/ML_SHAP_Core_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_OUTPUT_CORE/ML_SHAP_Core_Result.xlsx
ML_SHAP_Multi_Target_Metrics__ALL_METRICS__66245a0d,ML_SHAP_Multi_Target_Metrics__ALL_METRICS__66245a0d,data_processed/english/ML_SHAP_Multi_Target_Metrics__ALL_METRICS__66245a0d_en.csv,data_processed/english/ML_SHAP_Multi_Target_Metrics__ALL_METRICS__66245a0d_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Metrics__ALL_METRICS__66245a0d_cn.csv,data_processed/chinese/ML_SHAP_Multi_Target_Metrics__ALL_METRICS__66245a0d_cn.csv,18,18,6,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Metrics.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Metrics.xlsx
ML_SHAP_Multi_Target_Result__I_CV__98162870,ML_SHAP_Multi_Target_Result__I_CV__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__I_CV__98162870_en.csv,data_processed/english/ML_SHAP_Multi_Target_Result__I_CV__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_CV__98162870_cn.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_CV__98162870_cn.csv,10,10,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx
ML_SHAP_Multi_Target_Result__I_DM__98162870,ML_SHAP_Multi_Target_Result__I_DM__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__I_DM__98162870_en.csv,data_processed/english/ML_SHAP_Multi_Target_Result__I_DM__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_DM__98162870_cn.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_DM__98162870_cn.csv,10,10,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx
ML_SHAP_Multi_Target_Result__I_EWM__98162870,ML_SHAP_Multi_Target_Result__I_EWM__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__I_EWM__98162870_en.csv,data_processed/english/ML_SHAP_Multi_Target_Result__I_EWM__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_EWM__98162870_cn.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_EWM__98162870_cn.csv,10,10,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx
ML_SHAP_Multi_Target_Result__I_Factor__98162870,ML_SHAP_Multi_Target_Result__I_Factor__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__I_Factor__98162870_en.csv,data_processed/english/ML_SHAP_Multi_Target_Result__I_Factor__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_Factor__98162870_cn.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_Factor__98162870_cn.csv,10,10,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx
ML_SHAP_Multi_Target_Result__I_PCA__98162870,ML_SHAP_Multi_Target_Result__I_PCA__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__I_PCA__98162870_en.csv,data_processed/english/ML_SHAP_Multi_Target_Result__I_PCA__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_PCA__98162870_cn.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_PCA__98162870_cn.csv,10,10,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx
ML_SHAP_Multi_Target_Result__I_Spearman_CRITIC__98162870,ML_SHAP_Multi_Target_Result__I_Spearman_CRITIC__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__I_Spearman_CRITIC__98162870_en.csv,data_processed/english/ML_SHAP_Multi_Target_Result__I_Spearman_CRITIC__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_Spearman_CRITIC__98162870_cn.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_Spearman_CRITIC__98162870_cn.csv,10,10,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx
ML_SHAP_Multi_Target_Result__M_CV__98162870,ML_SHAP_Multi_Target_Result__M_CV__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__M_CV__98162870_en.csv,data_processed/english/ML_SHAP_Multi_Target_Result__M_CV__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__M_CV__98162870_cn.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__M_CV__98162870_cn.csv,3,3,6,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx
